lon,lat,residents,age_0_24,age_25_64,dwellings
-8.34971,41.427016,181,59,107,60
-8.353246,41.425803,4,2,2,1
-8.325131,41.422486,31,5,16,10
-8.242992,41.425413,68,17,42,24
-8.351552,41.426291,156,30,78,63
-8.338651,41.426883,67,20,33,25
-8.338173,41.426574,39,7,20,16
-8.375086,41.3713,47,14,31,16
-8.373529,41.371518,49,13,34,16
-8.3514,41.372017,48,7,29,17
-8.349766,41.371426,48,9,28,14
-8.353012,41.37203,38,5,27,17
-8.241719,41.44987,72,19,33,25
-8.275914,41.453761,60,11,30,21
-8.310602,41.452238,55,15,24,26
-8.262846,41.453095,144,40,86,51
-8.382775,41.372897,31,6,16,9
-8.358988,41.371366,129,25,65,50
-8.362059,41.371413,67,17,38,24
-8.3522,41.372905,48,8,25,19
-8.360296,41.373018,18,0,11,9
-8.383438,41.373849,23,5,13,8
-8.34691,41.373427,63,13,32,23
-8.350022,41.372363,151,31,70,54
-8.342423,41.425237,52,11,29,20
-8.384694,41.425173,102,21,59,38
-8.354915,41.426725,39,8,20,14
-8.380252,41.425019,107,21,60,39
-8.235237,41.425831,66,17,39,25
-8.313587,41.427066,157,49,97,52
-8.355336,41.370659,157,41,92,56
-8.365,41.369673,120,18,67,50
-8.381978,41.371336,134,31,71,49
-8.386297,41.37253,42,10,21,19
-8.366394,41.372151,83,18,36,29
-8.389339,41.371885,69,13,38,28
-8.34777,41.427316,99,23,54,35
-8.363269,41.427154,155,36,104,61
-8.351319,41.427745,49,12,28,19
-8.311825,41.45169,27,4,14,10
-8.307186,41.452952,110,23,52,47
-8.304082,41.453013,99,32,61,30
-8.290301,41.450772,165,15,66,44
-8.308945,41.454059,49,6,28,22
-8.342848,41.452925,0,0,0,0
-8.316295,41.453612,48,14,21,18
-8.307976,41.454467,249,42,148,100
-8.270622,41.454614,57,15,35,25
-8.264448,41.454273,51,8,22,22
-8.330608,41.467748,133,38,67,44
-8.323558,41.467495,61,12,36,21
-8.296262,41.525481,41,9,22,15
-8.336144,41.468742,57,14,31,20
-8.411973,41.46659,10,3,6,4
-8.228909,41.466679,38,6,27,13
-8.338742,41.466433,71,15,39,20
-8.335385,41.469104,53,14,30,18
-8.283473,41.469378,45,11,29,16
-8.333325,41.468914,81,21,49,30
-8.296823,41.468318,50,14,26,17
-8.292918,41.469153,18,3,7,8
-8.288646,41.468639,58,12,28,21
-8.391873,41.466648,11,4,5,4
-8.283605,41.469842,29,3,21,15
-8.396559,41.468285,28,6,13,10
-8.353493,41.480638,67,14,41,22
-8.326347,41.480718,36,6,17,15
-8.354518,41.459659,133,35,70,45
-8.351309,41.460451,94,17,50,35
-8.353324,41.459975,58,13,32,21
-8.349317,41.459861,81,21,45,27
-8.362233,41.459954,27,4,14,8
-8.353466,41.461521,23,6,10,11
-8.37119,41.4579,124,36,72,44
-8.341344,41.48086,188,43,129,69
-8.261621,41.481364,85,14,47,33
-8.328711,41.480975,23,6,11,8
-8.356339,41.480142,143,33,81,45
-8.323559,41.481687,27,7,13,10
-8.259493,41.480623,16,4,6,6
